Nome,Categoria,Atualizada,Tamanho,Instalacoes,Versao Atual,Requer Android,Classificacao,Politica de Privacidade
Bethesda Softworks LLC,Simulation,"June 3, 2020",38M,"10,000,000+",1.14.1,4.1 and up,Digital Purchases,http://privacy-policy.truste.com/certified-policy/mobile/app/en/zenimax-apple.com/index.html
Genetic Studios ™,Simulation,"April 30, 2020",Varies with device,"10,000,000+",6.2.0,4.4 and up,Digital Purchases,https://geneticstudios.com/privacy-policy/
The Knights Pvt Ltd,Simulation,"July 31, 2020",50M,"50,000,000+",3.74,4.1 and up,Digital Purchases,https://www.theknights.com.pk/privacy-policy/
olzhass,Simulation,"August 7, 2020",Varies with device,"10,000,000+",4.7.0,5.0 and up,"Users Interact, In-Game Purchases",https://policies.google.com/privacy
Pulsar Gamesoft,Simulation,"August 5, 2020",122M,"1,000,000+",1.0.27e,4.3 and up,"Users Interact, In-Game Purchases",http://www.grandtrucksimulator.com/news/gts2-privacy-policy
GIANTS Software,Simulation,"April 20, 2020",17M,"10,000,000+",1.1.2.6,5.0 and up,Digital Purchases,http://www.farming-simulator.com/privacyPolicy.php
"Poppin Games Japan Co., Ltd.",Simulation,"July 15, 2020",45M,"1,000,000+",5.15.0,4.0 and up,In-Game Purchases,http://poppin-games.com/privacypolicy/
1492 Studio,Simulation,"August 11, 2020",126M,"50,000+",1.3.324,4.1 and up,In-Game Purchases,http://www.1492.io/policies/privacy_us.pdf
Alphaquest Game Studio,Simulation,"August 12, 2020",94M,"1,000,000+",1.42,4.1 and up,In-Game Purchases,http://alphaquestgames.com/privacy-policy-2/
FLERO Games,Simulation,"August 6, 2020",34M,"10,000,000+",1.26.0,4.4 and up,Digital Purchases,https://policies.google.com/privacy
Heatherglade Publishing,Simulation,"August 1, 2020",41M,"5,000,000+",1.5.20,4.4 and up,Digital Purchases,https://publishgame.com/privacy-policy
Storm8 Studios,Simulation,"August 14, 2020",133M,"10,000,000+",1.7.8g,4.4 and up,In-Game Purchases,http://www.storm8.com/notice-of-privacy/
Zuuks Games,Simulation,"August 12, 2020",58M,"50,000,000+",1.3.2,5.0 and up,In-Game Purchases,https://policies.google.com/privacy
MYTONA,Simulation,"August 12, 2020",83M,"10,000,000+",1.28.0,4.4 and up,"Users Interact, Digital Purchases",https://mytona.com/privacy-policy/
East Side Games Studio,Simulation,"July 6, 2020",35M,"1,000,000+",1.21.1,4.1 and up,Digital Purchases,https://privacy-policy.eastsidegames.com
Zuuks Games,Simulation,"June 19, 2020",49M,"50,000,000+",1.2.7,5.0 and up,Digital Purchases,https://policies.google.com/privacy
GAMEGOS,Simulation,"July 30, 2020",80M,"10,000,000+",2.1.40,4.1 and up,"Users Interact, In-Game Purchases",http://www.gamegos.com/privacypolicy/
The Knights Pvt Ltd,Simulation,"July 20, 2020",64M,"50,000,000+",3.72,4.1 and up,In-Game Purchases,https://www.theknights.com.pk/privacy-policy/
RedFish Games,Sports,"July 24, 2020",70M,"10,000,000+",5.00.5009.5,4.1 and up,Digital Purchases,https://sites.google.com/site/redfishgamestudioprivacy/
Dodreams Ltd.,Sports,"August 27, 2019",71M,"10,000,000+",2.20.6,4.1 and up,Digital Purchases,https://policies.google.com/privacy
D&D Dream,Sports,"August 10, 2020",40M,"50,000,000+",6.9,2.3 and up,R$2.50 - R$254.70 per item,https://policies.google.com/privacy
FourThirtyThree Inc.,Sports,"June 30, 2020",84M,"10,000,000+",2.3.0,4.4 and up,In-Game Purchases,https://policies.google.com/privacy
Miniclip.com,Sports,"July 28, 2020",52M,"10,000,000+",1.15.0,4.1 and up,Digital Purchases,http://www.miniclip.com/android/privacy-policy/
mobirix,Sports,"May 11, 2020",53M,"50,000,000+",2.3.5,4.1 and up,"Users Interact, In-Game Purchases",https://policies.google.com/privacy
Noodlecake Studios Inc,Sports,"Eligible if bought after 7/2/2016.
","August 11, 2020",35M,"10,000+",1.1.0,5.0 and up,https://noodlecake.com/privacy-policy/
HeroCraft Ltd.,Sports,"May 13, 2020",44M,"100,000+",1.0.32,4.0.3 and up,In-Game Purchases,http://www.herocraft.com/privacy/
Underground Creative,Sports,"April 13, 2020",Varies with device,"100,000+",Varies with device,Varies with device,Digital Purchases,https://www.football-chairman.com/privacy.html
Gravitysensation,Sports,"August 29, 2015",3.5M,"100,000+",1.3.0,4.0.3 and up,Gravitysensation,http://www.gravitysensation.com/sumotori_privacy.html
Cartoon Network,Sports,"Eligible if bought after 7/2/2016.
","April 22, 2020",43M,"100,000+",2.0.1,5.1 and up,http://www.cartoonnetwork.com/legal/privacy/mobile.html
MoFunZone.com,Sports,"Eligible if bought after 7/2/2016.
","July 5, 2020",Varies with device,"10,000+",Varies with device,Varies with device,http://m.mad.com/privacy-policy.html
"MLB Advanced Media, L.P.",Sports,"Eligible if bought after 7/2/2016.
","July 31, 2020",49M,"1,000+",1.0.5,5.1 and up,http://mlb.mlb.com/mlb/official_info/about_mlb_com/privacy_policy.jsp
BLSoftware,Sports,"Eligible if bought after 7/2/2016.
","May 9, 2020",15M,"50,000+",1.14.2,4.1 and up,http://footballagentgame.co.uk/privacy-policy.html
ASBO Interactive,Sports,"Eligible if bought after 7/2/2016.
","August 3, 2020",Varies with device,"10,000+",1.6.0.3,4.2 and up,http://www.asbointeractive.com/privacy-policy/
True Axis,Sports,"August 7, 2020",95M,"5,000,000+",1.5.23,4.1 and up,"Users Interact, Digital Purchases",https://policies.google.com/privacy
7788`s,Sports,"July 13, 2020",86M,"10,000,000+",3.19,4.1 and up,7788`s,https://sites.google.com/site/archerykingdomprivacypolicy/
Gun Fire Studio,Sports,"August 1, 2020",61M,"50,000,000+",1.2.43,4.1 and up,R$19.99 - R$409.99 per item,https://sites.google.com/view/privacy-policy-battle-of-words
Crazy Labs by TabTale,Role Playing,"August 14, 2020",58M,"10,000,000+",1.6.04,4.4 and up,In-Game Purchases,https://crazylabs.com/privacy-policy/
Miniclip.com,Sports,"July 25, 2020",76M,"50,000,000+",1.0.35.1,4.1 and up,Digital Purchases,http://www.miniclip.com/android/privacy-policy/
Fast Free Games,Racing,"June 23, 2020",Varies with device,"100,000,000+",Varies with device,Varies with device,Digital Purchases,http://fastfreegames.net/privacy-policy/
Refuel Games Pty Ltd,Racing,"May 20, 2020",89M,"10,000,000+",1.70,4.1 and up,"Users Interact, In-Game Purchases",https://www.refuelgames.com/privacy.html
Gunfire Game,Sports,"August 4, 2020",62M,"1,000,000+",1.0.8,4.1 and up,R$20.99 - R$549.99 per item,https://sites.google.com/view/privacy-policy-shootingworld-2
mobirix,Sports,"November 28, 2019",81M,"10,000,000+",1.3.4,4.1 and up,"Users Interact, In-Game Purchases",https://policies.google.com/privacy
Fingersoft,Racing,"May 26, 2020",76M,"500,000,000+",1.46.6,4.2 and up,Digital Purchases,http://www.fingersoft.com/privacy.html
Gameloft SE,Racing,"August 6, 2020",84M,"100,000,000+",5.2.1a,4.4 and up,"Users Interact, In-Game Purchases",http://www.gameloft.com/privacy-notice/
Soner Kara,Racing,"May 27, 2020",59M,"100,000,000+",3.3,4.1 and up,In-Game Purchases,http://www.skgames.net/privacy-policy
NEXON Company,Racing,"July 10, 2020",Varies with device,"10,000,000+",1.2.8,4.4 and up,"Users Interact, In-Game Purchases",https://policies.google.com/privacy
Top Free Games.,Racing,"July 8, 2020",31M,"100,000,000+",7.9.3,4.2 and up,Digital Purchases,https://www.topfreegames.com/games/bikerace/legal/privacy
Ivy,Racing,"August 7, 2020",87M,"100,000,000+",6.0.5,4.1 and up,Digital Purchases,https://sites.google.com/view/streetracingprivacypolicy
AxesInMotion Racing,Racing,"August 7, 2020",53M,"100,000,000+",4.18.30,4.1 and up,Digital Purchases,http://www.axesinmotion.com/privacy
Mobirate,Racing,"August 13, 2020",44M,"500,000+",6.2.2.110,6.0 and up,In-Game Purchases,http://mobirate.com/privacy_policy.txt
SMOKOKO LTD,Racing,"August 3, 2020",114M,"10,000,000+",2.4,4.2 and up,In-Game Purchases,https://smokoko.com/privacy-policy
ELECTRONIC ARTS,Racing,"July 20, 2020",57M,"100,000,000+",4.6.31,4.1 and up,Digital Purchases,http://privacy.ea.com/en
Vivid Games S.A.,Racing,"July 16, 2020",61M,"5,000,000+",1.42.0,5.0 and up,R$3.89 - R$314.99 per item,https://policies.google.com/privacy
NaturalMotionGames Ltd,Racing,"August 3, 2020",71M,"10,000,000+",2.14.0,4.4 and up,"Users Interact, Digital Purchases",https://www.zynga.com/privacy/policy
Not Doppler,Racing,"August 1, 2020",55M,"10,000,000+",1.4.14,4.1 and up,In-Game Purchases,http://www.crashofcars.com/privacypolicy.php
Vector Unit,Racing,"November 13, 2019",79M,"100,000,000+",1.2.25,4.1 and up,Digital Purchases,http://vectorunit.com/privacy
Green Panda Games,Strategy,"June 30, 2020",118M,"10,000,000+",2.9.1,5.0 and up,In-Game Purchases,http://www.greenpandagames.com/en/privacy_policy
Pixel Federation Games,Strategy,"August 10, 2020",146M,"5,000,000+",1.26.0,5.0 and up,Digital Purchases,https://pxfd.co/privacy
Social Quantum Ltd,Strategy,"June 3, 2020",99M,"50,000,000+",5.50,4.4 and up,Digital Purchases,https://privacy.socialquantum.com/
Cartoon Network EMEA,Strategy,"March 5, 2020",42M,"5,000,000+",1.0.5,5.1 and up,Cartoon Network EMEA,https://www.cartoonnetwork.co.uk/apps-privacy
ninja kiwi,Strategy,"Eligible if bought after 7/2/2016.
","July 21, 2020",68M,"1,000,000+",19.2,5.0 and up,https://ninjakiwi.com/privacy_policy
Tapps Games,Strategy,"August 13, 2020",140M,"10,000,000+",2.35.1,4.1 and up,Digital Purchases,https://policies.google.com/privacy
FlyBird Casual Games,Strategy,"July 27, 2020",113M,"5,000,000+",1.0.37,4.1 and up,In-Game Purchases,https://policies.google.com/privacy
ninja kiwi,Strategy,"July 10, 2020",94M,"10,000,000+",6.7.1,4.1 and up,"Shares Location, In-Game Purchases",http://ninjakiwi.com/privacy_policy
Springcomes,Strategy,"July 3, 2020",43M,"10,000,000+",1.6.4.5,4.1 and up,"R$1.25 - R$1,499.99 per item",http://gameboost.cafe24.com/mobile/privacypolicyEN.html
Play365,Strategy,"June 12, 2020",58M,"10,000,000+",1.4.5,4.1 and up,In-Game Purchases,https://play365.io/GOW/privacy-policy/
YottaGames,Strategy,"August 10, 2020",76M,"1,000,000+",1.5.161,4.1 and up,"Users Interact, Digital Purchases",https://mafia.yottagames.com/cn/privacy-and-cookie-policy/
Pixel Federation Games,Strategy,"August 14, 2020",49M,"5,000,000+",1.0.125,4.4 and up,In-Game Purchases,https://pxfd.co/privacy
AMT Games Publishing Limited,Strategy,"April 28, 2020",13M,"10,000,000+",3.7.9,4.0.3 and up,R$3.79 - R$389.99 per item,http://amt-games.com/privacy/
ABUKSIGUN,Strategy,"August 10, 2020",44M,"100,000+",1.0.174,4.4 and up,R$8.99 - R$454.99 per item,https://www.abuksigun.com/privacy.html
Sateda Game Studio,Strategy,"July 31, 2020",63M,"100,000+",2.2.1,4.1 and up,In-Game Purchases,http://sateda.net/doc/privacy-policy.html
Ilyon,Strategy,"July 22, 2020",35M,"1,000,000+",1.4.4,4.1 and up,Digital Purchases,http://www.ilyon.net/privacy-policy
Ariel Software,Strategy,"August 14, 2020",25M,"500,000+",0.0528,4.4 and up,In-Game Purchases,https://policies.google.com/privacy
Scopely,Strategy,"August 11, 2020",150M,"5,000,000+",1.000.09999,4.4 and up,"Users Interact, In-Game Purchases",http://scopely.com/privacy/
"Big Huge Games, Inc.",Strategy,"August 10, 2020",88M,"10,000,000+",8.860.861,4.4 and up,"Users Interact, Digital Purchases",https://bighugegames.com/privacy-policy/
IGG.COM,Strategy,"July 30, 2020",66M,"10,000,000+",3.1.1,4.1 and up,Digital Purchases,http://www.igg.com/about/privacy_policy.php
JOYCITY Corp.,Strategy,"July 20, 2020",90M,"5,000,000+",1.0.146,4.1 and up,"Users Interact, In-Game Purchases",http://policy.joycity.com/privacy
PIXIO,Strategy,"July 20, 2020",76M,"1,000,000+",1.18.1,4.1 and up,Digital Purchases,https://policies.google.com/privacy
IGG.COM,Strategy,"July 31, 2020",76M,"100,000,000+",2.26,4.0.3 and up,"Users Interact, In-Game Purchases",https://policies.igg.com/privacy_policy
KingsGroup Holdings,Strategy,"August 13, 2020",143M,"10,000,000+",1.9.1,4.1 and up,"Users Interact, In-Game Purchases",http://www.kingsgroup.cn/privacy_policy/kingsgroup/en
mobirix,Strategy,"December 19, 2019",44M,"5,000,000+",1.4.5,4.1 and up,"Users Interact, In-Game Purchases",https://policies.google.com/privacy
Games Station,Strategy,"August 13, 2020",74M,"10,000,000+",1.4.45,4.1 and up,In-Game Purchases,https://www.gstationstudio.com/privacypolicy
Pixodust Games,Simulation,"August 11, 2020",56M,"100,000+",1.0.6,4.4 and up,In-Game Purchases,https://pixodust.com/games_privacy_policy/
Doodle Mobile Ltd.,Sports,"July 21, 2020",48M,"5,000,000+",1.16.0,4.0 and up,"Users Interact, In-Game Purchases",https://policies.google.com/privacy
Good Job Games,Sports,"May 14, 2020",49M,"100,000,000+",1.4.5,4.4 and up,R$7.99 - R$55.99 per item,http://privacy.goodjobgames.com/
Miniclip.com,Sports,"June 5, 2019",91M,"10,000,000+",1.8.5,4.1 and up,Digital Purchases,http://www.miniclip.com/privacy
Miniclip.com,Sports,"May 29, 2020",78M,"10,000,000+",1.93,4.4 and up,Digital Purchases,http://www.miniclip.com/privacy
DoubleTap Software,Sports,"August 13, 2020",52M,"10,000,000+",2.1.21,4.1 and up,Digital Purchases,https://doubletapsoftware.com/privacy/
Tapps Games,Strategy,"July 23, 2020",102M,"10,000,000+",1.17.6,4.1 and up,Digital Purchases,https://policies.google.com/privacy
Nexelon inc.,Sports,"July 31, 2020",71M,"10,000,000+",0.0.125,4.1 and up,R$4.71 - R$79.63 per item,https://policies.google.com/privacy
ORT Software,Word,"Eligible if bought after 7/2/2016.
","June 15, 2020",21M,"10,000+",3.42,4.0.3 and up,https://www.ortsoftware.com/privacy.html
etermax,Word,"Eligible if bought after 7/2/2016.
","August 11, 2020",56M,"50,000+",3.32.2,5.0 and up,http://www.apalabrados.com/privacy
ELECTRONIC ARTS,Racing,"July 6, 2020",43M,"100,000,000+",8.6.0,4.1 and up,Digital Purchases,http://privacy.ea.com/en
TutoTOONS,Educational,"July 3, 2020",83M,"1,000,000+",4.0.9,4.4 and up,Digital Purchases,http://tutotoons.com/privacy_policy/
App Family Kids - Games for boys and girls,Educational,"August 11, 2020",17M,"10,000,000+",250,4.2 and up,Digital Purchases,https://policies.google.com/privacy
Bertheussen IT,Word,"July 31, 2020",Varies with device,"500,000+",Varies with device,Varies with device,"Users Interact, Digital Purchases",http://wordfeud.com/privacy/
MOUNTAIN GAME,Sports,"July 8, 2020",41M,"100,000,000+",2.18,4.1 and up,MOUNTAIN GAME,https://sites.google.com/site/billiardscityprivacy/
Budge Studios,Casual,"July 29, 2020",37M,"5,000,000+",1.7,4.1 and up,Digital Purchases,https://budgestudios.com/legal/privacy-policy/
playus soft,Sports,"August 3, 2020",92M,"10,000,000+",1.7.0,4.1 and up,Digital Purchases,https://policies.google.com/privacy
KIGLE,Education,"August 3, 2020",68M,"1,000,000+",4.0.4,4.0 and up,In-App Purchases,http://kiglestudio.com/privacy_policy/index.html
QuiverVision Limited,Education,"July 23, 2020",108M,"1,000,000+",5.5,6.0 and up,Digital Purchases,https://quivervision.com/privacy-policy
MAGE Studio Kid Games,Educational,"April 6, 2017",45M,"1,000,000+",Varies with device,Varies with device,MAGE Studio Kid Games,http://wowkids.io/privacy-policy
App Family Kids - Games for boys and girls,Educational,"May 7, 2020",14M,"500,000+",25.1,4.2 and up,Digital Purchases,https://policies.google.com/privacy
BabyFirst,Education,"July 28, 2020",85M,"1,000,000+",5.2.2,4.4 and up,Digital Purchases,http://www.babyfirsttv.com/privacy-policy
Yiotro,Strategy,"August 12, 2020",8.4M,"1,000,000+",1.26h,2.2 and up,Yiotro,https://policies.google.com/privacy
Prineside,Strategy,"June 2, 2020",11M,"1,000,000+",R.1.7.13,4.1 and up,Digital Purchases,https://infinitode.prineside.com/?m=game_privacy_policy
Midjiwan AB,Strategy,"July 10, 2020",Varies with device,"5,000,000+",Varies with device,Varies with device,Digital Purchases,http://www.midjiwan.com/privacy.pdf
ELECTRONIC ARTS,Strategy,"June 19, 2020",94M,"100,000,000+",2.9.07,4.1 and up,Digital Purchases,http://privacy.ea.com/en
ARTEM KOTOV,Strategy,"April 24, 2020",Varies with device,"1,000,000+",Varies with device,Varies with device,Digital Purchases,https://defensezone.net/privacy_en.html
Supercell,Strategy,"July 31, 2020",147M,"500,000,000+",13.369.18,4.1 and up,"Users Interact, Digital Purchases",http://www.supercell.net/privacy-policy
Lilith  Games,Strategy,"August 13, 2020",103M,"10,000,000+",1.0.37.8,4.1 and up,"Users Interact, In-Game Purchases",http://www.lilithgames.com/privacy_lilith.html
"Aegis Interactive, LLC",Strategy,"August 10, 2020",Varies with device,"1,000,000+",3.15.25287,3.2 and up,"Users Interact, Digital Purchases",http://www.godsofolympus.com/privacy/
Ironhide Game Studio,Strategy,"July 27, 2020",Varies with device,"10,000,000+",4.2.27,Varies with device,R$0.99 - R$149.99 per item,https://policies.google.com/privacy
Supercell,Strategy,"April 22, 2020",125M,"50,000,000+",42.37,4.1 and up,"Users Interact, Digital Purchases",http://www.supercell.net/privacy-policy
Max Games Studios,Strategy,"April 29, 2020",81M,"100,000,000+",2.1.35,4.1 and up,Digital Purchases,http://www.maxgames.com/privacy/stickwarlegacy.html
Tapdemic,Strategy,"February 12, 2020",24M,"1,000,000+",2.3.9,4.1 and up,Digital Purchases,https://tapdemic.com/privacy
IGG.COM,Strategy,"August 14, 2020",35M,"5,000,000+",1.7.5,4.1 and up,"Users Interact, In-Game Purchases",http://igg.com/about/privacy_policy.php
Supercell,Strategy,"April 17, 2020",107M,"100,000,000+",3.2.4,4.1 and up,"Users Interact, Digital Purchases",http://www.supercell.net/privacy-policy
Paladin Studios,Strategy,"July 31, 2020",109M,"1,000,000+",1.8.4.2510,4.3 and up,Digital Purchases,http://www.kongregate.com/pages/privacy
Space Ape,Strategy,"July 22, 2020",115M,"10,000,000+",11.0.0.825,4.1 and up,"Users Interact, Digital Purchases",http://www.transformersearthwars.com/privacypolicy/
DAWINSTONE,Strategy,"August 4, 2020",92M,"100,000+",1.2.4,5.0 and up,In-Game Purchases,https://dawinstone-games.firebaseapp.com/privacy-policy/
Socialpoint,Strategy,"July 30, 2020",112M,"50,000,000+",10.0.2,4.1 and up,Digital Purchases,https://www.take2games.com/privacy/
Dreamotion Inc.,Strategy,"July 27, 2020",45M,"1,000,000+",2.18.1576.44943,4.1 and up,Digital Purchases,http://dreamotion.us/privacy-policy/
Nextwave Multimedia,Sports,"May 16, 2020",68M,"50,000,000+",2.8.9,4.1 and up,"Users Interact, In-Game Purchases",http://www.cricketbuddies.com/privacy_policy.html
Nautilus Mobile,Sports,"July 24, 2020",40M,"10,000,000+",3.1,4.1 and up,"Users Interact, In-Game Purchases",https://www.nautilusmobile.com/privacy-policy
Next Games,Strategy,"August 3, 2020",55M,"10,000,000+",3.9.1.212,4.1 and up,"Users Interact, Digital Purchases",http://www.nextgames.com/privacy-policy/
Five Aces Publishing Ltd.,Sports,"December 18, 2019",63M,"10,000,000+",4.17.1,4.1 and up,Digital Purchases,http://www.newstargames.com/content/text/privacy/Privacy
AKPublish pty ltd,Strategy,"Eligible if bought after 7/2/2016.
","July 9, 2020",37M,"5,000+",1.0.88,4.1 and up,http://akpublish.com/privacy_policy.html
Masomo Gaming,Sports,"August 11, 2020",97M,"50,000,000+",1.133,4.1 and up,Digital Purchases,http://masomo.com/privacy-policy.html
ELECTRONIC ARTS,Sports,"July 15, 2020",80M,"100,000,000+",13.1.13,Varies with device,"Users Interact, Digital Purchases",http://privacy.ea.com/en
GOAT Games,Strategy,"August 7, 2020",133M,"5,000,000+",1.1.120.106333,4.0 and up,Users Interact,https://www.goatgames.com/privacy.html
Playdemic,Sports,"July 29, 2020",96M,"10,000,000+",2.38.1,4.4 and up,Digital Purchases,http://cdn.playdemic.com/docs/privacypolicy.html
Miniclip.com,Sports,"July 20, 2020",61M,"500,000,000+",4.9.1,4.4 and up,"Users Interact, In-Game Purchases",http://www.miniclip.com/android/privacy-policy/
First Touch Games Ltd.,Sports,"July 24, 2020",97M,"100,000,000+",2.51,4.4 and up,Digital Purchases,https://www.ftgames.com/privacy-policy
playus soft,Sports,"May 11, 2020",103M,"10,000,000+",1.4.8,4.0 and up,Digital Purchases,https://policies.google.com/privacy
First Touch Games Ltd.,Sports,"July 16, 2020",349M,"10,000,000+",7.42,5.0 and up,"Users Interact, In-Game Purchases",https://www.ftgames.com/privacy-policy
Glu,Sports,"July 20, 2020",169M,"1,000,000+",1.2.2,5.0 and up,"Users Interact, In-Game Purchases",https://www.glu.com/privacy
ELECTRONIC ARTS,Sports,"August 12, 2020",78M,"500,000+",7.0.5,Varies with device,"Users Interact, In-Game Purchases",http://privacy.ea.com/en
"Haegin Co., Ltd.",Sports,"August 1, 2020",90M,"100,000+",1.2.0,6.0 and up,In-Game Purchases,https://policies.google.com/privacy
ELECTRONIC ARTS,Sports,"August 5, 2020",Varies with device,"50,000,000+",4.4.10,Varies with device,Users Interact,http://privacy.ea.com/en
Soccer Manager Ltd,Sports,"June 12, 2020",Varies with device,"1,000,000+",1.1.13,5.0 and up,In-Game Purchases,https://www.soccermanager.com/privacy.php
Nexelon inc.,Sports,"July 23, 2020",88M,"10,000,000+",0.1.160,4.1 and up,R$2.28 - R$74.28 per item,https://policies.google.com/privacy
Gamegou Limited,Sports,"August 1, 2020",75M,"10,000,000+",1.22.25,4.1 and up,"Users Interact, In-Game Purchases",https://gamegou.tumblr.com/post/184889866644/gamegou-privacy-policy
FGL Indie Showcase,Sports,"August 10, 2020",99M,"50,000+",1.0.2.4,6.0 and up,R$3.19 - R$359.99 per item,https://policies.google.com/privacy
KONAMI,Sports,"July 28, 2020",94M,"50,000,000+",4.6.1,5.0 and up,"Shares Info, Digital Purchases",https://legal.konami.com/games/privacy/
Jaguar Studios,Word,"Eligible if bought after 7/2/2016.
","May 23, 2020",13M,"5,000+",4.8.2,4.0.3 and up,http://jaguarstds.com/word_master_privacy_policy.html
"Haegin Co., Ltd.",Sports,"August 4, 2020",60M,"1,000,000+",2.13.0.1,5.0 and up,In-Game Purchases,https://policies.google.com/privacy
Teazel Ltd,Word,"Eligible if bought after 7/2/2016.
","June 12, 2020",Varies with device,"50,000+",Varies with device,Varies with device,https://www.teazel.com/privacy.html
Matchingham Games,Word,"July 28, 2020",119M,"5,000,000+",1.1.9,5.0 and up,In-Game Purchases,https://thematchinghampalace.com/privacy-policy/
Zynga,Word,"July 31, 2020",82M,"10,000,000+",15.004,6.0 and up,R$3.19 - R$609.99 per item,https://www.zynga.com/privacy/policy
Super Lucky Games LLC,Word,"August 11, 2020",51M,"10,000,000+",1.203,4.1 and up,Digital Purchases,http://superluckycasino.com/privacy-policy/
Frogmind,Strategy,"July 26, 2020",126M,"10,000,000+",2.6.2.8,4.3 and up,"Users Interact, Digital Purchases",http://frogmind.com/tos-and-privacy-policy/
Miniclip.com,Sports,"August 10, 2020",34M,"100,000,000+",5.0.2,4.1 and up,Digital Purchases,http://www.miniclip.com/android/privacy-policy/
Brain Ladder Game Studio,Word,"July 29, 2020",52M,"1,000,000+",6.0,4.1 and up,Brain Ladder Game Studio,http://brainladdergames.com/privacy_policy/
Moonfrog,Word,"June 26, 2020",30M,"10,000,000+",5.6.5,4.2 and up,Digital Purchases,http://teenpattigold.com/privacynew.html
Lulo Apps,Word,"April 29, 2020",Varies with device,"10,000,000+",Varies with device,Varies with device,In-Game Purchases,http://classicwords.net/privacy-policy
Magic Word Games,Word,"May 26, 2020",Varies with device,"10,000,000+",Varies with device,Varies with device,In-Game Purchases,https://policies.google.com/privacy
Fantasy Word Games,Word,"May 22, 2020",Varies with device,"5,000,000+",Varies with device,Varies with device,Digital Purchases,https://policies.google.com/privacy
BitMango,Word,"August 13, 2020",52M,"10,000,000+",20.0813.00,4.4 and up,Digital Purchases,https://www.bitmango.com/privacy-policy/
Fugo Games,Word,"July 18, 2020",140M,"50,000,000+",2.1.2,5.0 and up,Digital Purchases,http://fugo.com.tr/privacypolicy-wordsofwonders.html
Egghead Games LLC,Word,"Eligible if bought after 7/2/2016.
","July 10, 2020",4.0M,"10,000+",3.6.6,4.0.3 and up,https://policies.google.com/privacy
PeopleFun,Word,"July 12, 2020",112M,"10,000,000+",1.9.1,4.1 and up,In-Game Purchases,http://www.peoplefun.com/privacy
Scopely,Word,"August 13, 2020",104M,"10,000,000+",1.25.2,5.0 and up,"Users Interact, In-Game Purchases",http://scopely.com/privacy
"Fanatee, Inc.",Word,"August 2, 2020",89M,"50,000,000+",1.39.0,4.1 and up,In-Game Purchases,https://policies.google.com/privacy
Break Games,Word,"April 18, 2020",11M,"1,000,000+",2.97,4.1 and up,R$4.99 - R$51.99 per item,http://breakgamestudio.blogspot.com/p/privacy-policy.html
Zytoona,Word,"July 2, 2020",13M,"10,000,000+",4.10,4.1 and up,R$3.29 - R$32.99 per item,https://www.zytoona.com/privacy-policy
WORD GAMES LLC,Word,"April 16, 2020",48M,"10,000,000+",4.2,4.1 and up,R$3.79 - R$75.99 per item,https://policies.google.com/privacy
Cool Word Puzzle Games,Word,"July 6, 2020",40M,"1,000,000+",2.1,4.1 and up,R$4.59 - R$91.99 per item,http://18.130.104.119/privacy.html
Italic Games,Word,"July 27, 2020",Varies with device,"1,000,000+",Varies with device,Varies with device,In-Game Purchases,https://policies.google.com/privacy
Wordloco,Word,"September 4, 2019",5.0M,"10,000,000+",1.2.5,4.0 and up,R$4.29 - R$7.49 per item,https://policies.google.com/privacy
Brainit Games,Word,"August 10, 2020",37M,"1,000,000+",1.6,4.1 and up,In-Game Purchases,https://policies.google.com/privacy
Lezigame,Word,"August 14, 2020",3.8M,"10,000,000+",8.2,4.4 and up,In-Game Purchases,http://www.lezigame.com/privacy.html
Mattel,Casual,"July 15, 2020",81M,"10,000,000+",1.7.1,4.4 and up,Digital Purchases,http://corporate.mattel.com/privacy-statement.aspx
Zytoona,Word,"June 30, 2020",55M,"10,000,000+",5.91,4.1 and up,Digital Purchases,https://www.zytoona.com/privacy-policy
FM by Bubadu,Casual,"June 12, 2020",24M,"10,000,000+",1.44,4.1 and up,Digital Purchases,http://bubadu.com/privacy-policy.shtml
GoKids!,Educational,"July 24, 2020",37M,"10,000,000+",3.2.9,4.4 and up,Digital Purchases,http://gokidsmobile.com/privacy-policy/
TutoTOONS,Educational,"June 26, 2020",91M,"5,000,000+",1.2.45,4.4 and up,In-Game Purchases,https://tutotoons.com/privacy_policy/
FM by Bubadu,Casual,"June 19, 2020",28M,"10,000,000+",1.51,4.1 and up,Digital Purchases,http://bubadu.com/privacy-policy.shtml
Budge Studios,Casual,"July 17, 2020",36M,"10,000,000+",1.11,4.1 and up,Digital Purchases,https://budgestudios.com/legal/privacy-policy/
Creative APPS,Entertainment,"August 11, 2020",15M,"10,000,000+",1.4.5,4.1 and up,Digital Purchases,http://creative100.cc/privacy.html
GunjanApps Studios,Educational,"August 27, 2019",8.9M,"1,000,000+",2.9,4.2 and up,Digital Purchases,http://gunjanappstudios.com/privacy-policy/
etermax,Trivia,"August 13, 2020",99M,"500,000+",3.80.1,5.0 and up,"Users Interact, Digital Purchases",https://www.triviacrack.com/privacy
Budge Studios,Simulation,"July 16, 2020",52M,"10,000,000+",10.0,4.4 and up,Digital Purchases,https://budgestudios.com/en/legal/privacy-policy/
Barnstorm Games,Trivia,"Eligible if bought after 7/2/2016.
","September 3, 2019",147M,"5,000+",1.0.2,4.1 and up,https://www.barnstormgames.com/impossible-app-privacy-policy/
